Field,Type of Data,Description,Full tag name (tags only),Source,Notes
social_justice,Tag - Specific Practice,"The school uses a social justice lens to design curriculum, instruction, policies, and community engagement. This could include work to understand and address large, complex social issues such as poverty, food insecurity, racism, and environmental justice.",Social Justice Focus,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
ways_mastery,Tag - Specific Practice,"Students can demonstrate mastery in multiple ways (e.g. portfolio, oral presentation, test, group project, etc).",Multiple Ways to Demonstrate Mastery,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
projects_primary,Tag - Specific Practice,"Projects are a central approach to learning core content and skills, rather than added on as extra activities once core content is covered.",Projects as Primary Method of Learning,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
accommodations,Tag - Specific Practice,Accommodations traditionally reserved for students with an IEP are available to all students.,Accommodations Available to All Students,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
learner_profiles,Tag - Specific Practice,"Profiles extend across multiple years of school and may include how the student is performing, as well as personal factors like who they are, what inspires them, and how they best learn.",Individual Learner Profiles,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
portfolios_exhibitions,Tag - Specific Practice,"Students collect and share evidence of their work over time to demonstrate their learning and growth, and independently present their projects, reflect on their learning, and share progress towards their goals for an audience.",Portfolios and Public Exhibitions of Student Work,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
real_world,Tag - Specific Practice,"Student projects involve action steps to solve or meaningfully improve real-world problems (e.g. homelessness in their city, or a marketing challenge faced by a real company).",Real-World Problem Solving,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
student_projects,Tag - Specific Practice,"Students are partners and leaders in designing, implementing, and assessing projects.",Students Develop Projects,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
makerspace,Tag - Specific Practice,Students can access a space and/or set of tools for use in building and designing creations.,Makerspace,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
assessments_deeper,Tag - Specific Practice,"The school assesses deeper learning and 21st century skills beyond academic content mastery, e.g. communication, collaboration, critical thinking', etc.",Assessments for Deeper Learning,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
flexible_staffing,Tag - Specific Practice,"The school makes creative use of human capital, e.g. through a tutor residency model, outside experts, master teachers or teacher mentors, etc.",Flexible Staffing & Alternative Teaching Roles,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
real_time_data,Tag - Specific Practice,The school has created systems and routines to continuously monitor progress and tailor learning activities.,Real Time Data Use to Drive Instruction,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
individual_rotation,Tag - Specific Practice,Students rotate through online and other stations on individual schedules set by a teacher or software algorithm. Students do not necessarily rotate to every station; they rotate only to the activities scheduled on their playlists.,Individual Rotation,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
flipped_classroom,Tag - Specific Practice,"Students learn at home via online coursework and lectures, and teachers use class time for teacher-guided practice or projects.",Flipped Classroom,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
flex,Tag - Specific Practice,"Students move on fluid schedules among learning activities according to their needs. Online learning is the backbone of student learning, and teachers provide support and instruction on a flexible, as-needed basis.",Flex Model,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
student_data,Tag - Specific Practice,Students (and families) can access their own learning and assessment data in real time.,Students Access Their Own Data,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
competency_framework,Tag - Specific Practice,A transparent learning framework is used to align learning and assessment. What proficiency looks like at each performance level is available to students and families.,Competency Framework,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
performance_assessment,Tag - Specific Practice,"In assessments, students apply knowledge or demonstrate a skill rather than selecting a correct answer on a test.",Performance Based assessment,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
student_pace,Tag - Specific Practice,Students determine their own pace in learning rather than being required to move at the same pace as a whole group.,Students Progress At Own Pace,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
student_goals,Tag - Specific Practice,"Students set and pursue their own learning goals, as well as self-assess their progress.",Student-Led Goal Setting,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
advisories,Tag - Specific Practice,"Small groups of students meet regularly (daily or weekly, over multiple years) with adult advisors to set learning goals, reflect on progress, and build positive relationships.",Student Advisories,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
teachers_leaders,Tag - Specific Practice,"The school involves teachers in shared decision-making, and communicates how teacher input has informed decision-making. Teachers make decisions in areas such as school success, curriculum, budget, evaluating their colleagues, selecting personnel, and more.",Teachers as Co-Leaders,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
extended_learning,Tag - Specific Practice,"Students can access credit-bearing learning experiences outside of the school (e.g. internship, service learning, training, etc).",Extended Learning Opportunities,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
enriched_virtual,Tag - Specific Practice,"Students complete the majority of coursework online at home or outside of school, but attend school for required face-to-face learning sessions with a teacher.",Enriched Virtual Model,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
a_la_carte,Tag - Specific Practice,Students take an online course with an online teacher in addition to other face-to-face courses.,A La Carte Model,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
assessments_career,Tag - Specific Practice,The school assesses students' readiness to enter the workforce and pursue a career path.,Assessments for Career Readiness,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
meet_professionals,Tag - Specific Practice,"The school brokers connections between students and industry professionals, including methods such as job shadows, video chats, etc.",Students Meet Industry Professionals,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
industry_credentials,Tag - Specific Practice,"Students can earn industry-issued or recognized credentials as a verification of a their qualifications or competence, in fields such as agriculture, hospitality & tourism, health, information technology, etc.",Students Earn Industry Credentials,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
dual_credit,Tag - Specific Practice,The school offers students the option to take college credit-bearing courses before entering college.,Dual Credit,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
early_college,Tag - Specific Practice,"The school is a hybrid of high school and college, where all students take both high school and colleges classes simultaneously, earning credit towards a college degree.",Early College High School,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
elimination_tracking,Tag - Specific Practice,"Gifted programs are eliminated and barriers to advanced courses (e.g. AP, IB, honors) are removed so that no student is barred from accessing these opportunities. Remediation takes place throughout the regular scope and sequence so that ""lower level"" classes are removed.",Elimination of Tracked Classes,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
mentoring,Tag - Specific Practice,The school connects students with adults in and outside of the school for 1:1 mentoring and regular check-in meetings.,1:1 Mentoring,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
multi_age,Tag - Specific Practice,"Classrooms include students of many ages, rather than grouping them by age or grade band.",Multi-Age Classrooms,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
tutoring,Tag - Specific Practice,"The school provides tutoring services to students. This may involve a partnership with an outside organization, or utilization of human resources beyond teachers, such as non-instructional staff, parents, or students.",Tutoring,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
fully_remote,Tag - Specific Practice,"Some students learn fully remotely, such as at home (no core instruction required at school).",Fully Remote,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
fully_in_person,Tag - Specific Practice,Some students learn fully at school (no core instruction required remotely or at home).,Fully In-Person,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
hybrid,Tag - Specific Practice,Some students learn partially at home and partially at school (core instruction occurs in both settings).,Hybrid,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
rotating_schedule,Tag - Specific Practice,The school uses a rotating schedule to reduce the total number of students on campus during in-person learning.,Rotating or Staggered Schedules,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
asynchronous_online,Tag - Specific Practice,"Online learning activities occur asynchronously, where consistent groups of students participate on their own time when they choose.",Asynchronous Online Learning,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
virtual_enrichment,Tag - Specific Practice,"Beyond core academics, the school engages students in enrichment activities while learning remotely.",Virtual Enrichment Activities,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
remote_accommodations,Tag - Specific Practice,The school offers special education services to students learning remotely.,Remote Accommodations,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
place_based,Tag - Specific Practice,"The school uses local knowledge, skills, issues, heritage, culture, and landscapes as the foundation for studying subjects across the curriculum.",Place-Based Learning,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
family_learning,Tag - Specific Practice,The school offers guidance and training for families about how to support students learning remotely.,At-Home Learning Supports,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
digital_materials,Tag - Specific Practice,"For remote learning, curricular materials are hosted and distributed digitally.",Digital Materials,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
families_choose_modality,Tag - Specific Practice,"Families can opt into their instructional modality of choice (e.g. fully remote, fully in-person, or hybrid)",Families Can Choose Instructional Modality,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
half_days,Tag - Specific Practice,Some students attend school in the morning and others in the afternoon.,Half Days,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
alternating_days,Tag - Specific Practice,"Some students attend school one day, and others the next.",Alternating Days,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
sel_curriculum,Tag - Specific Practice,The school has adopted a formal classroom curriculum for social and emotional learning outside of academic subjects.,Stand-Alone Social and Emotional Learning Curriculum,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
hiring_equity,Tag - Specific Practice,"Hiring practices are designed to result in new hires with equity-focused values. The school may employ specific innovations such as: students or community members on the interview committee, equity and positionality rubrics in use, hiring pool stays open until qualified diverse candidates are identified.",Hiring Prioritizes Equity-Focused Values,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
peer_to_peer,Tag - Specific Practice,"The school creates deliberate structures and processes for peer support, e.g. peer mentorship, peer tutoring, accountability partners, etc.",Peer to Peer Support,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
station_rotation,Tag - Specific Practice,"Students rotate through stations on a fixed schedule, where at least one of the stations is an online learning station.",Station Rotation,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
grading_mastery,Tag - Specific Practice,"Grades are reported on a standards-based report card, and focus on the specific competencies students are expected to develop.",Grading Policies Focus on Mastery,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
